Activity ID,Activity Name,Avg Cadence,Avg HR,Avg Stress,Calories,Date,Distance (km),Duration (min),Elevation Gain (m),End Stress,Max HR,Max Stress,Pace (min/km),Start Stress,Stress Diff,Type,VO2 Max,Z1 (min),Z2 (min),Z3 (min),Z4 (min),Z5 (min),_kafka_key,_kafka_partition,_kafka_offset,total_sale_value
21965542196,Honolulu - W01D1-Easy Run,98,96,,249,2026-02-23,3.46,41.47,49.4,,119,,11.99,,,running,,9.2,0,0,0,0,running,0,0,0.0
21954265312,Honolulu Walking,87.796875,128,,163,2026-02-22,1.99,21.54,33,,147,,10.84,,,walking,43,7.32,13.87,0.35,0,0,walking,0,1,0.0
21943859743,Coherence,0,94,70,0,2026-02-21,0,15.57,0,60,107,83,0,83,-23,breathwork,,0.91,0,0,0,0,breathwork,0,2,0.0
21943770023,Honolulu - Base,139.703125,150,,402,2026-02-21,5.11,44.79,56.8,,164,,8.77,,,running,43,1.35,6.13,37.28,0.02,0,running,0,3,0.0
21921828818,Honolulu - Base,136.171875,146,,328,2026-02-19,4.05,33.09,50.7,,160,,8.18,,,running,43,1.52,6.83,24.23,0,0,running,0,4,0.0
21892130373,Rucking the dog ,77.296875,114,,167,2026-02-16,1.98,26.06,31.7,,151,,13.17,,,walking,43,12.23,5.88,1.27,0,0,walking,0,5,0.0
21889719484,Honolulu - Hill sprints 10*15s,113.828125,144,,278,2026-02-16,3.17,28.72,64.7,,177,,9.06,,,running,,2.18,14.31,7.95,3.68,0,running,0,6,0.0
21880043348,Honolulu - Tempo,144.640625,158,,662,2026-02-15,8.13,60.74,88.4,,176,,7.47,,,running,43,0.97,7.39,20.37,31.68,0,running,0,7,0.0
21860487689,Honolulu - Long Run,129.9375,151,,636,2026-02-13,7.92,70.6,95.9,,168,,8.92,,,running,43,0.65,11.51,56.87,1.58,0,running,0,8,0.0
21829475018,Indoor Cycling,0,134,,251,2026-02-10,9.66,28.54,0,,168,,2.96,,,indoor_cycling,,2.27,24.41,1.42,0.43,0,indoor_cycling,0,9,0.0
21808906486,Honolulu - Base,141.28125,148,,504,2026-02-08,6.23,53,75.8,,163,,8.5,,,running,43,1.51,10.69,40.42,0,0,running,0,10,0.0
21755172774,Honolulu Multisport,0,0,,544,2026-02-03,4.45,80.45,75,,140,,18.07,,,multi_sport,,0,0,0,0,0,multi_sport,0,11,0.0
21734813204,Honolulu - Base,144.015625,144,,367,2026-02-01,4.52,35.19,50.8,,159,,7.79,,,running,43,1.48,12.8,20.47,0,0,running,0,12,0.0
21724351150,Honolulu Walking,76.734375,111,,126,2026-01-31,1.58,20.39,23.1,,130,,12.94,,,walking,43,15.27,1,0,0,0,walking,0,13,0.0
21694554359,Honolulu - Hill sprints 10*15s,135.390625,144,,320,2026-01-28,3.68,31.2,65.7,,177,,8.48,,,running,43,3.67,11.78,10.39,4.99,0,running,0,14,0.0
21683561200,Honolulu - Base,146.609375,149,,528,2026-01-27,6.4,49.14,55.1,,164,,7.67,,,running,43,1.54,7.78,39.38,0.12,0,running,0,15,0.0
21663871750,Honolulu - Base,145.34375,142,,292,2026-01-25,3.66,28.95,39.2,,157,,7.9,,,running,43,1.37,14.95,12.33,0,0,running,0,16,0.0
21652909277,Magic Island Biathlon (Run-Swim),0,0,,599,2026-01-24,5.72,45.79,8.7,,184,,8,,,multi_sport,,0,0,0,0,0,multi_sport,0,17,0.0
21613974412,Ka'ena Ruck ,51.734375,101,,910,2026-01-20,10.21,224.41,117.6,,134,,21.97,,,hiking,,91.88,4.7,0,0,0,hiking,0,18,0.0
21603388008,Honolulu Surfing,0,111,,270,2026-01-19,1.55,48.11,0,,164,,31.04,,,surfing_v2,,17.17,7.52,4.43,0.02,0,surfing_v2,0,19,0.0
21599892014,Morning Run with Michael,142.90625,153,,379,2026-01-19,4.55,35.23,49.5,,165,,7.74,,,running,42,1.26,3.35,29.85,0.58,0,running,0,20,0.0
21561680912,Maui County Open Water Swimming,0,91,,108,2026-01-15,0.66,26.36,0,,134,,39.67,,,open_water_swimming,,4.7,2.15,0,0,0,open_water_swimming,0,21,0.0
21551109690,Maui County Walking,35.578125,90,,129,2026-01-14,1.22,36.03,30.8,,122,,29.51,,,walking,42,5.13,0,0,0,0,walking,0,22,0.0
21549658299,Molokini Crater Open Water Swimming,0,97,,401,2026-01-14,1.44,95.11,0,,136,,66.24,,,open_water_swimming,,21.63,6.22,0,0,0,open_water_swimming,0,23,0.0
21540021296,Iao Valley Walking,25.1875,89,,182,2026-01-13,1.38,55.19,50.1,,119,,39.93,,,walking,,7.8,0,0,0,0,walking,0,24,0.0
21537704513,Olowalu Open Water Swimming,0,109,,314,2026-01-13,1.28,54.62,0,,154,,42.76,,,open_water_swimming,,25.19,6.68,1.72,0,0,open_water_swimming,0,25,0.0
